"student_id","surname","name","stipend","kurs","city","birthday","univ_id"
1,Сергеев,Сергей,520,1,Одинцово,1983-03-21,39
2,Клюквина,Вера,140,3,Сатка,1987-03-15,6
3,Кийко,Ирина,,2,Зубцов,1986-05-22,82
4,Водопьянова,Виктория,170,2,Костерево,1984-04-06,88
5,Тимашов,Дмитрий,90,2,Горячий Ключ,1984-06-19,27
6,Авраменко,Владислав,480,3,Павловское,1987-07-07,29
7,Величко,Алексей,250,1,Кедровый,1984-11-27,8
8,Филипцов,Артем,470,4,,1984-08-04,35
9,Колдаева,Елена,360,1,Усолье-Сибирское,1989-08-07,86
10,Антипов,Андрей,520,2,Яхрома,1984-09-04,77
11,Грачев,Евгений,490,3,Боровое,1987-11-26,84
12,Попова,Дарья,120,2,Новокуйбышевск,1984-11-28,26
13,Гончарова,Ирина,70,1,Навашино,1984-08-24,89
14,Закусилова,Марина,150,2,Старый Оскол,1981-04-16,71
15,Нагина,Елена,320,1,Вытегра,1988-08-10,9
16,Платошкина,Валерия,220,4,Котлас,1980-01-07,41
17,Светляков,Станислав,250,2,Островной,1984-05-19,20
18,Черникова,Ирина,530,3,Опочка,1982-10-20,26
19,Зайцева,Алиса,240,3,Магадан,1989-04-03,75
20,Застрожнова,Ольга,200,1,Сосенский,1983-05-07,14
21,Сушкова,Ирина,290,3,Константиновск,1984-12-19,86
22,Бавыкина,Анна,,3,Уфа,1982-04-19,95
23,Киреева,Марина,220,3,Лысково,1984-04-26,16
24,Михайлова,Елена,380,2,Шуя,1980-02-08,73
25,Чиликова,Любовь,520,2,Агидель,1983-11-22,73
26,Селиванова,Елена,190,1,Жуковка,1982-03-27,33
27,Лисовой,Сергей,110,4,,1988-08-03,3
28,Назарьев,Михаил,380,2,Богданович,1984-06-06,89
29,Метлицкий,Алексей,450,3,Шахты,1980-04-24,55
30,Белоусова,Эльвира,130,1,Краснознаменск,1987-12-19,47
31,Власова,Екатерина,270,2,Томари,1984-04-11,64
32,Волчкевич,Юрий,440,2,Ижевск,1981-10-15,31
33,Волынкин,Евгений,130,1,Белокуриха,1981-03-19,22
34,Воробьев,Владимир,260,4,Вичуга,1980-06-23,36
35,Лопухов,Дмитрий,310,1,Новосибирск,1983-11-03,75
36,Лохмачева,Ольга,80,2,Ливны,1980-01-23,98
37,Овчинникова,Маргарита,80,4,Михайловск,1981-05-20,92
38,Погорельский,Вячеслав,270,4,Акбулак,1988-01-05,36
39,Полищук,Владимир,50,4,Ковров,1987-10-25,94
40,Токарев,Игорь,390,1,Гай,1985-07-08,35
41,Турбин,Евгений,100,2,Жуков,1987-08-18,13
42,Колтакова,Анна,520,2,Лысьва,1989-03-04,91
43,Попов,Максим,550,2,Карачев,1989-05-01,79
44,Черепнина,Юлия,170,2,Высоцк,1982-04-09,65
45,Мошкин,Андрей,440,3,Константиновск,1980-04-06,48
46,Бучнев,Евгений,470,4,Касли,1982-01-29,67
47,Кретинина,Екатерина,260,1,Старая Русса,1989-07-09,94
48,Трунтаев,Павел,380,2,Озеры,1986-03-07,58
49,Печенкина,Юлия,160,4,Артемовск,1987-03-26,54
50,Хрипков,Михаил,410,1,Орехово-Зуево,1987-02-04,22
51,Черникова,Ольга,60,1,Чернушка,1980-07-25,96
52,Бахтерев,Максим,480,1,Северобайкальск,1986-12-27,9
53,Попова,Екатерина,120,3,Североморск,1989-01-09,55
54,Свиридова,Марина,400,2,Байконур,1982-12-26,48
55,Цурканов,Сергей,70,3,Балей,1985-07-24,51
56,Толмачева,Алла,320,2,Звенигород,1984-08-18,65
57,Суворов,Алексей,500,2,Лихославль,1984-08-12,62
58,Бредихина,Виталия,400,4,Иваново,1988-09-01,34
59,Бумакова,Елена,490,1,Салаир,1987-01-10,33
60,Максимова,Галина,340,3,Шахтерск,1988-05-14,76
61,Мельченко,Евгения,250,3,Козловская,1981-07-24,38
62,Переславцева,Татьяна,140,3,Мантурово,1985-08-23,81
63,Ситало,Татьяна,380,3,Горно-Алтайск,1988-02-03,2
64,Анисимова,Ирина,110,3,Иланский,1989-11-15,98
65,Домарева,Наталья,240,3,Валуйки,1985-09-18,59
66,Сидельникова,Ирина,140,3,Гаврилов Посад,1988-03-18,32
67,Воронюк,Ираида,220,4,Набережные Челны,1983-04-04,54
68,Азарова,Юлия,150,4,Трехгорный-1,1983-10-13,22
69,Ефимова,Мария,380,1,Гурьевск,1988-06-04,60
70,Кондратьева,Юлия,540,3,Богданович,1981-07-19,37
71,Косарева,Юлия,440,4,Нарьян-Мар,1987-11-04,4
72,Лакомова,Ирина,340,3,Валдай,1981-11-11,85
73,Полуэктова,Анна,480,2,Аткарск,1981-10-20,35
74,Никулина,Ольга,420,1,Горно-Алтайск,1989-09-28,5
75,Максименко,Юлия,80,1,Сочи,1987-11-29,27
76,Асеева,Татьяна,520,1,Димитровград,1989-05-27,98
77,Шипилова,Екатерина,50,1,Киров,1984-11-30,43
78,Янкова,Елена,530,3,Светлогорск,1988-11-26,4
79,Красавин,Евгений,410,3,Мышкин,1984-10-16,94
80,Яньшина,Анна,530,4,Шилка,1984-11-18,83
81,Мироненко,Наталья,60,2,Кондрово,1986-07-13,56
82,Дадонова,Людмила,400,3,Кяхта,1982-06-07,91
83,Мордасова,Ольга,500,1,Псевдостолица,1981-01-16,61
84,Рыжкова,Елена,370,3,Киреевск,1986-06-25,3
85,Богомолова,Екатерина,470,4,Комсомольский,1982-03-10,23
86,Голощапова,Марина,510,1,Димитровград,1988-06-07,26
87,Дибцева,Инна,320,1,Топки,1986-12-17,77
88,Попов,Дмитрий,450,4,Малоархангельск,1981-08-23,53
89,Рукавицына,Галина,460,1,Луга,1986-03-14,41
90,Рыкунов,Никита,100,4,Рудногорск,1981-09-03,39
91,Рыкунова,Анастасия,530,3,Отрадное,1989-06-12,70
92,Саблин,Юрий,120,4,Нефтекамск,1988-02-24,28
93,Самсонов,Алексей,370,3,Усть-Шоноша,1981-07-20,80
94,Соколова,Екатерина,190,1,Карабулак,1984-09-14,23
95,Афанасьева,Татьяна,400,1,Лебедянь,1987-05-15,90
96,Болгов,Алексей,390,3,Сорочинск,1987-11-26,65
97,Древаль,Дмитрий,380,3,Новинки,1983-01-19,81
98,Дубатовкин,Максим,180,2,Барнаул,1985-10-13,27
99,Простаков,Сергей,250,3,Таруса,1980-03-11,23
100,Пономарев,Александр,410,1,Дагестанские Огни,1986-12-08,67
101,Косяков,Андрей,520,2,Кировград,1981-11-12,21
102,Косяков,Дмитрий,130,2,Майкоп,1983-03-05,79
103,Скаба,Людмила,410,4,Петров Вал,1989-01-28,4
104,Смольянинов,Дмитрий,500,1,Владивосток,1987-10-17,35
105,Допперт,Вячеслав,420,2,Скалистый,1981-10-02,31
106,Стрыгина,Елена,50,2,Лодейное Поле,1988-05-04,82
107,Анисимов,Сергей,170,2,Кизилюрт,1982-03-13,12
108,Гамов,Вячеслав,280,1,Микунь,1982-11-10,44
109,Довка,Юрий,390,4,Еменьга,1980-01-29,7
110,Калинин,Александр,540,1,Холм,1982-10-29,32
111,Пивоваров,Николай,250,4,Лакинск,1988-05-20,5
112,Тимошенко,Алексей,190,4,Окуловка,1989-09-17,91
113,Богомолова,Екатерина,450,1,Учалы,1988-12-27,37
114,Голощапова,Марина,190,1,Приморск,1986-02-11,78
115,Дибцева,Инна,460,3,Скалистый,1986-01-05,26
116,Попов,Дмитрий,510,4,Фатеж,1982-02-26,59
117,Рукавицына,Галина,500,3,Кисловодск,1984-11-06,49
118,Рыкунов,Никита,460,1,Мирный,1984-06-03,22
119,Рыкунова,Анастасия,80,3,Красногорск,1986-02-13,5
120,Саблин,Юрий,50,3,Елец,1982-11-23,75
