"lecturer_id","surname","name","city","univ_id"
1,Бабкина,Надежда,Красный Холм,42
2,Бугрим,Наталья,Урюпинск,33
3,Каданцева,Наталья,Яхрома,21
4,Данилова,Елена,Мелединская,54
5,Красникова,Ольга,Семенов,77
6,Антонова,Наталья,,48
7,Подкопаева,Елена,Пошехонье,63
8,Комова,Екатерина,Туапсе,32
9,Круглова,Екатерина,Бавлы,93
10,Кузнецова,Ольга,Никольск,61
11,Гашникова,Анастасия,Находка,53
12,Босых,Наталья,Ачинск,53
13,Бугакова,Ирина,,25
14,Прытков,Роман,Ипатово,57
15,Тычинин,Павел,Нолинск,79
16,Сарма,Анастасия,Пикалево,72
17,Березкина,Ольга,Сысерть,66
18,Колесняк,Сергей,Богданович,43
19,Ушаков,Владимир,Сусуман,60
20,Гуськова,Ольга,Ленск,39
21,Ефремова,Елена,Талица,40
22,Иванов,Алексей,Высоцк,62
23,Киташова,Светлана,,90
24,Кондратьев,Александр,Астрахань,7
25,Лукинова,Оксана,Курильск,72
26,Пухлов,Михаил,Белово,39
27,Солодовникова,Ольга,Мурманск,68
28,Старикова,Анна,Норильск,23
29,Тарасова,Марина,Ульяновск,95
30,Ермакова,Анастасия,Всеволожск,57
31,Свиридова,Галина,,82
32,Сидельникова,Инна,Гусь-Хрустальный,59
33,Хылинская,Елена,Когалым,42
34,Балабанова,Ксения,Поронайск,98
35,Колганова,Юлия,Новая Игирма,97
36,Сидельникова,Лидия,Сургут,76
37,Правдик,Анна,Тырныауз,92
38,Воробьев,Александр,Карталы,86
39,Митрохина,Екатерина,Чехов-2,56
40,Барков,Юрий,Ужур-4,19
41,Джафарова,Эльмира,Новомичуринск,20
42,Карпинский,Тимур,Кемерово,4
43,Сысуева,Ольга,Южноуральск,77
44,Полевина,Мария,Лермонтов,87
45,Русских,Александр,Нюрба,1
46,Липатова,Александра,Усолье,92
47,Кринько,Екатерина,Зубцов,53
48,Асосков,Михаил,Олонец,61
49,Рисинская,Валентина,Чита,13
50,Воропаева,Наталья,Долинск,59
51,Кузьмина,Елена,Великое,33
52,Лупарева,Надежда,Грязи,14
53,Селезнева,Татьяна,Барабинск,43
54,Болдырева,Евгения,Кыштым,17
55,Кулинченко,Сергей,Донецк,67
56,Проскурякова,Юлия,Северск,90
57,Белоконева,Ольга,Троицк,57
58,Черных,Ирина,Тутаев,58
59,Яньшин,Олег,Боровое,59
60,Глотов,Игорь,Ковров,41
61,Полунина,Юлия,Октябрьский,12
62,Заикин,Александр,Горно-Чуйский,53
63,Шевцова,Екатерина,Салехард,26
64,Кишканева,Анна,Меленки,76
65,Болдырева,Светлана,Адыгейск,22
66,Коростелева,Елена,Чадан,82
67,Шевлякова,Ирина,Бирюсинск,75
68,Филатова,Елена,Шокша,58
69,Плетнева,Инна,Можайск,2
70,Давыдов,Евгений,Оханск,70
71,Храпак,Ольга,Елизово,62
72,Тихонов,Антон,Демидов,96
73,Красина,Анна,Торопец,41
74,Ковалева,Татьяна,Валуйки,79
75,Маркова,Ольга,Киров,60
76,Бобровских,Дарья,Чита,29
77,Шаповалова,Ирина,Чкаловск,92
78,Фомина,Елена,Колпашево,75
79,Хабарова,Татьяна,Тулун,70
80,Гузеева,Дарья,Белорецк,98
81,Ходарева,Елена,Кингисепп,80
82,Леонтьева,Евангелина,Новотроицк,76
83,Ворсина,Инна,Медвежьегорск,67
84,Попова,Юлия,Новозыбков,71
85,Адодина,Екатерина,Ижевск,52
86,Потокина,Нелли,Рыбинск,41
87,Садовская,Татьяна,Городище,29
88,Никифорова,Елена,Усть-Илимск,49
89,Анохина,Екатерина,Татарск,33
90,Бухтоярова,Ирина,Новокуйбышевск,65
91,Козенко,Юлия,Новгород,21
92,Никитина,Марина,Артемовск,51
93,Стеценко,Евгения,Медвежьегорск,68
94,Киселева,Ольга,Ефремковская,89
95,Брыжакина,Светлана,Сосновка,20
96,Харин,Александр,Серпухов,9
97,Мананникова,Елена,Стерлитамак,43
98,Аюкова,Ксения,Тверь,37
99,Кудрина,Татьяна,Вилюйск,98
100,Кулакова,Юлия,Малая Вишера,65
101,Баркин,Михаил,Сафоново,23
102,Долинина,Анна,Горячий Ключ,31
103,Старцева,Алла,Саянск,20
104,Демченко,Екатерина,Цивильск,93
105,Берникова,Наталья,Наро-Фоминск,66
106,Шагапова,Диана,Каменногорск,71
107,Лоскутова,Дарья,Надым,88
108,Филатова,Елена,Кизилюрт,53
110,Колотев,Виталий,Людиново,58
111,Белоконева,Ольга,Светогорск,78
112,Сухорукова,Елена,Алексеевка,65
113,Сухорукова,Ольга,Ишимбай,63
114,Неупокоева,Екатерина,Славянск-на-Кубани,91
115,Шевченко,Ирина,Хотьково,31
116,Ванян,Виктор,Орлов,91
117,Ермаченкова,Любовь,Агинское,51
118,Дешевых,Оксана,Углич,1
119,Филимонова,Лилия,Нижний Новгород,73
120,Перцев,Алексей,Эртиль,7
121,Плотникова,Ольга,Большой Камень,15
122,Шишкина,Наталия,Фокино,61
123,Агамян,Арман,Борисоглебск,40
124,Растворова,Алина,Рославль,20
125,Мамыкина,Марина,Тольятти,91
126,Копытина,Татьяна,Жигулевск,25
127,Черномор,Инна,Верхотурье,49
128,Ишкова,Татьяна,Игнатовка,10
129,Двирник,Лариса,Великое,76
130,Прибыткова,Ирина,Медвежьегорск,49
131,Улезько,Татьяна,Домодедово,10
132,Калашников,Роман,Орел,42
133,Дубовская,Татьяна,,57
134,Ушакова,Оксана,Боготол,11
135,Богданова,Татьяна,Харабали,35
136,Бухонова,Ирина,Инта,82
137,Пенько,Сергей,Буй,62
138,Тимофеева,Ирина,Абдулино,47
139,Шахова,Ирина,Петродворец,95
140,Воробьева,Ольга,Оса,66
141,Неровная,Марина,Каргат,94
142,Кубахов,Игроь,Касли,56
143,Печенкина,Наталия,Новороссийск,47
144,Криулина,Елена,Нариманов,45
145,Мананникова,Елена,Сысерть,58
146,Нефедова,Ольга,Липецк,39
147,Прокофьев,Антон,,86
148,Теплякова,Наталья,Волжский,32
149,Кудрина,Наталья,Смольянец,8
150,Малевич,Валентина,Орск,67
151,Боброва,Ирина,Льгов,70
152,Субботин,Роман,Соликамск,38
153,Чеботарев,Никита,Олонец,71
154,Волянюк,Надежда,,34
155,Мельник,Оксана,Тихорецк,46
156,Небольсина,Анна,Калтан,40
157,Федяинов,Александр,Долинск,39
158,Вобликов,Александр,Алатырь,83
159,Асташева,Юлия,Усмань,20
160,Мороз,Марта,Каменск-Уральский,41
161,Ненахов,Сергей,Харабали,2
162,Ломонова,Ольга,Всеволожск,52
163,Гребенников,Евгений,Гвардейск,43
164,Агаркова,Виктория,Киржач,6
165,Оганджанян,Надежда,Шенкурск,88
166,Прасолова,Наталия,Бузулук,67
167,Лысенко,Анна,Темрюк,86
168,Ноздрачева,Ольга,Суздаль,92
169,Савельева,Екатерина,Камышин,52
170,Саяпина,Татьяна,Осинники,65
171,Коренчук,Елена,Соликамск,61
172,Мюллер,Роман,Ленинск,4
173,Казакова,Мария,Лодейное Поле,68
174,Бровкина,Надежда,Клин,50
175,Портнихина,Наталья,Сосновый Бор,65
176,Квасова,Елена,Далматово,21
177,Ульянова,Валерия,Полесск,74
178,Кретова,Анна,Нижняя Тура,92
179,Волчкова,Екатерина,Георгиевск,95
180,Ляхненко,Елена,Порхов,23
181,Цветков,Андрей,Рыбинск,72
182,Логачев,Алексей,Цивильск,35
183,Каландарова,Анастасия,Сургут,55
184,Красножон,Андрей,Чехов-2,72
185,Шкарупа,Иван,Важская Запань,32
186,Ефимова,Елена,Волчанск,62
187,Сорокина,Ольга,Ершов,18
188,Подвигина,Виктория,Зея,34
189,Марков,Ярослав,Севск,98
190,Кутейников,Дмитрий,Верхняя Пышма,52
191,Беликова,Ольга,Исилькуль,54
192,Щепилов,Евгений,Снежногорск,59
193,Стрибный,Максим,Аксай,4
194,Воронин,Александр,Пасьва,15
195,Блюмкина,Екатерина,Радужный,31
196,Семейкина,Светлана,Оса,53
197,Пантелина,Оксана,Жирновск,85
198,Бондаренко,Светлана,Гдов,73
199,Ануфриев,Евгений,Уварово,24
200,Богданова,Елена,Буденновск,2
201,Васильев,Константин,Алатырь,20
202,Гвоздицкая,Елена,Куса,72
203,Зайцев,Роман,Яровое,10
204,Труханов,Евгений,Сорск,20
205,Букреева,Елена,Шахты,86
206,Панарина,Любовь,Раменское,84
207,Панков,Виталий,Мглин,43
208,Тулупова,Ксения,Новоузенск,77
209,Мухопад,Илья,Жирновск,27
210,Горохова,Вера,Белогорск,67
211,Гревцева,Татьяна,Норильск,12
212,Каструба,Игорь,Михайловск,73
213,Писарева,Елена,Меленки,78
214,Черепухина,Ольга,Вязники,7
215,Турилина,Юлия,Чудово,38
216,Рыбакова,Лидия,Себеж,90
217,Скипа,Ирина,Спасск-Дальний,80
218,Сычева,Мария,Агидель,13
219,Караваев,Вадим,Волоколамск,75
220,Бахтызина,Анна,Льгов,48
221,Маркина,Ирина,Новохоперск,95
222,Котова,Мария,Дальнегорск,82
223,Жадько,Жанна,Рубцовск,96
224,Овсянников,Александр,Мелеуз,29
225,Божко,Александра,Пущино,76
226,Костина,Людмила,Сосенский,42
227,Лебедева,Анжела,Курганинск,2
228,Зимина,Евгения,Заполярный,57
229,Леонова,Юлия,Серафимович,96
230,Потокина,Ольга,Тимашевск,17
231,Баженова,Ольга,Армавир,62
232,Скрыльников,Владимир,Торопец,39
233,Стояновская,Екатерина,Стерлитамак,4
234,Праслов,Алексей,Крымск,7
235,Рудова,Мария,Красноармейск,10
236,Волков,Сергей,Липецк,3
237,Беспалов,Андрей,Могоча,66
238,Невейкина,Екатерина,Жуковка,67
239,Харитонов,Сергей,Свободный,10
240,Свитцова,Людмила,Салават,3
241,Апевалова,Оксана,Жердевка,38
242,Фролова,Лариса,Свердловск-45,15
243,Мелякова,Екатерина,Сосновый Бор,82
244,Лесных,Ирина,Кораблино,71
245,Ложков,Денис,Шуя,43
246,Зайцева,Ольга,Псков,98
247,Лоскутова,Дарья,Яровое,96
248,Мягких,Татьяна,Новороссийск,23
249,Зеленев,Юрий,Нея,63
250,Колмыков,Сергей,Ясный,40
251,Невейкина,Екатерина,Мегион,86
252,Прокофьева,Ирина,Чусовой,55
253,Андросова,Ирина,Вязьма,84
254,Волчкова,Екатерина,Ахтубинск,89
255,Яцков,Павел,Георгиевское,15
256,Новоселова,Надежда,Суджа,12
257,Овсянникова,Ольга,Бирск,23
258,Троянова,Ирина,Кандалакша,83
259,Ярикова,Вера,Енисейск,75
260,Потапенко,Дарья,Кыштым,66
261,Бушуев,Александр,Тосно,54
262,Алферов,Денис,Артемовский,95
263,Босых,Наталья,Кирово-Чепецк,93
264,Яковлева,Анна,Ковылкино,88
265,Марголина,Ирина,Кушва,1
266,Ермакова,Ольга,Изобильный,91
267,Синицына,Надежда,Смоленск,76
268,Мешков,Алексей,Октябрьский,63
269,Самойлов,Алексей,Мамадыш,52
270,Бурдастых,Наталия,Чадан,72
271,Баркин,Михаил,Сокольники,15
272,Воронцов,Максим,Северо-Курильск,84
273,Агулова,Анна,Курчатов,38
274,Никитина,Юлия,Шадринск,26
275,Зурашвили,Мария,Городец,55
276,Палкина,Светлана,Новотроицк,76
277,Лыскин,Евгений,Богородицк,64
278,Акованцев,Михаил,Неман,46
279,Волобуева,Юлия,Острогожск,81
280,Поляков,Виктор,Шиловская,51
281,Сергиенко,Елена,Радужный,80
282,Грачев,Максим,Спасск-Рязанский,89
283,Бойкова,Наталия,Завитинск,64
284,Воронина,Ирина,Томск,57
109,Кукличева,Наталия,Инза,85
285,Перфильева,Виктория,Саянск,53
286,Пухова,Мария,,54
287,Патрашилина,Марина,Омск,91
288,Корчагина,Татьяна,Похвистнево,69
289,Кононенко,Наталья,Мыски,52
290,Худокормов,Михаил,Буйнакск,26
291,Бальде,Галина,Первоуральск,72
292,Писарева,Елена,Далматово,8
293,Апостол,Денис,Муром,74
294,Кононов,Александр,Чкаловск,27
295,Кирсанова,Ирина,Североуральск,76
296,Семенова,Светлана,Терек,82
297,Пряхина,Анна,Жиздра,67
298,Коновалова,Елена,Щигры,44
299,Кулаковская,Лилия,Южа,70
300,Ушаков,Владимир,Нягань,40
301,Цуканов,Александр,Уварово,25
302,Лукьянов,Михаил,Серов,35
303,Смирнов,Илья,Самара,30
304,Клейменова,Анжелика,Алексин,16
305,Ващенко,Татьяна,Радужный,66
306,Дронова,Ольга,Губаха,31
307,Козарицкая,Мария,Цимлянск,69
308,Ермак,Юрий,Горно-Чуйский,31
309,Дрыженко,Руслан,Печора,24
310,Жуков,Дмитрий,Воскресенск,93
311,Дыбов,Евгений,Калининград,11
312,Рыжкова,Екатерина,Весьегонск,12
313,Сотников,Павел,Торопец,90
314,Метлицкий,Алексей,Азнакаево,96
315,Киршинов,Александр,Темников,66
316,Цапович,Елена,Полесск,78
317,Сериков,Вадим,Болохово,24
318,Моисеев,Александр,Губаха,19
319,Воронина,Наталья,Арзамас,34
320,Плихтяк,Владимир,Луга,72
321,Малахов,Евгений,Жиздра,81
322,Неловкая,Елена,,90
323,Степанова,Екатерина,Углич,4
324,Клюева,Наталья,Реж,80
325,Безгина,Марина,Городище,55
326,Пельтихина,Елена,Южно-Сахалинск,36
327,Зобова,Юлия,Багратионовск,41
328,Кондратенко,Андрей,Черкесск,9
329,Павлов,Роман,Севск,17
330,Осина,Елена,,65
331,Федорова,Марина,Ростов,96
332,Шерстяных,Татьяна,Пикалево,97
333,Пожидаев,Евгений,Сходня,96
334,Тележкина,Ирина,Зея,56
335,Кудинова,Ирина,Талица,46
336,Сычева,Анна,Туран,84
337,Буравлев,Артем,Волчанск,69
338,Жумаева,Екатерина,Кольчугино,2
339,Мыльникова,Юлия,Раменское,60
340,Селютина,Юлия,Нефтекумск,46
341,Зиневич,Анна,Мирный,85
342,Воробьевский,Максим,Ужур,4
343,Карташова,Наталья,Карачев,73
344,Ходенева,Юлия,Благодарный,87
345,Шуткин,Станислав,Мариинск,13
346,Спиридонова,Виктория,Дмитров,83
347,Черникова,Маргарита,Кинель,95
348,Курочкина,Юлия,,74
